session_id,user_id,charger_id,start_time,end_time,cpu_percent,packets_per_sec,memory_percent,energy_kwh,payment_amount,mac_address,session_duration_min,billing_flag,multi_user_flag,session_hijack_flag,anomaly_type,start_hour
S89,U15,C18,2025-09-28 17:21:00,2025-09-28 18:03:00,0.03,40,0.24,19.74,197.4,MAC_15,42.0,0,0,0,None,17
S90,U12,C10,2025-09-28 17:41:00,2025-09-28 18:31:00,0.06,53,0.18,23.5,235.0,MAC_12,50.0,0,0,0,None,17
S91,U34,C12,2025-09-28 17:51:00,2025-09-28 19:15:00,0.06,37,0.28,40.42,404.2,MAC_34,84.0,0,0,0,None,17
S92,U41,C17,2025-09-28 18:03:00,2025-09-28 18:22:00,0.07,32,0.26,8.55,85.5,MAC_41,19.0,0,0,0,None,18
S93,U17,C16,2025-09-28 18:21:00,2025-09-28 19:22:00,0.05,43,0.22,28.88,288.8,MAC_17,61.0,0,0,0,None,18
S94,U26,C13,2025-09-28 18:34:00,2025-09-28 19:02:00,0.06,55,0.28,13.2,132.0,MAC_26,28.0,0,0,0,None,18
S95,U42,C13,2025-09-28 18:50:00,2025-09-28 19:55:00,0.06,51,0.2,31.05,310.5,MAC_42,65.0,0,0,0,None,18
S96,U37,C11,2025-09-28 19:07:00,2025-09-28 20:01:00,0.05,53,0.19,25.38,253.8,MAC_37,54.0,0,0,0,None,19
S97,U49,C3,2025-09-28 19:19:00,2025-09-28 19:35:00,0.04,45,0.26,7.2,72.0,MAC_49,16.0,0,0,0,None,19
S98,U2,C19,2025-09-28 19:33:00,2025-09-28 20:00:00,0.06,44,0.27,12.69,126.9,MAC_2,27.0,0,0,0,None,19
S99,U13,C19,2025-09-28 19:43:00,2025-09-28 21:05:00,0.07,59,0.26,38.88,0.0,MAC_13,82.0,1,0,0,Billing,19
S100,U46,C16,2025-09-28 20:01:00,2025-09-28 21:14:00,0.03,32,0.17,34.48,344.8,MAC_46,73.0,0,0,0,None,20
S101,U29,C7,2025-09-28 20:13:00,2025-09-28 21:29:00,0.06,31,0.2,36.48,364.8,MAC_29,76.0,0,0,0,None,20
S102,U20,C12,2025-09-28 20:36:00,2025-09-28 21:49:00,0.04,41,0.25,34.48,344.8,MAC_20,73.0,0,0,0,None,20
S103,U36,C18,2025-09-28 20:46:00,2025-09-28 21:05:00,0.04,56,0.21,8.55,85.5,MAC_36,19.0,0,0,0,None,20
S104,U26,C1,2025-09-28 21:01:00,2025-09-28 22:15:00,0.05,58,0.18,35.72,357.2,MAC_26,74.0,0,0,0,None,21
S105,U42,C11,2025-09-28 21:13:00,2025-09-28 22:36:00,0.03,50,0.18,39.82,398.2,MAC_42,83.0,0,0,0,None,21
S106,U37,C19,2025-09-28 21:30:00,2025-09-28 22:23:00,0.04,45,0.26,24.97,249.7,MAC_37,53.0,0,0,0,None,21
S107,U2,C18,2025-09-28 21:49:00,2025-09-28 23:09:00,0.03,42,0.23,38.4,384.0,MAC_2,80.0,0,0,0,None,21
S108,U15,C1,2025-09-28 22:04:00,2025-09-28 22:42:00,0.04,38,0.26,17.86,178.6,MAC_15,38.0,0,0,0,None,22
S109,U21,C13,2025-09-28 22:26:00,2025-09-28 23:36:00,0.06,42,0.17,33.6,336.0,MAC_21,70.0,0,0,0,None,22
S110,U39,C6,2025-09-28 22:36:00,2025-09-28 23:43:00,0.05,43,0.27,31.85,318.5,MAC_39,67.0,0,0,0,None,22
S111,U31,C2,2025-09-28 22:48:00,2025-09-28 23:08:00,0.04,50,0.21,9.0,90.0,MAC_31,20.0,0,0,0,None,22
S112,U43,C13,2025-09-28 23:03:00,2025-09-28 23:57:00,0.04,49,0.29,25.38,253.8,MAC_43,54.0,0,0,0,None,23
S113,U25,C19,2025-09-28 23:14:00,2025-09-29 00:30:00,0.06,53,0.28,36.48,364.8,MAC_25,76.0,0,0,0,None,23
S114,U3,C16,2025-09-28 23:30:00,2025-09-29 00:03:00,0.06,44,0.15,15.37,153.7,MAC_3,33.0,0,0,0,None,23
S115,U42,C16,2025-09-28 23:41:00,2025-09-29 00:38:00,0.04,42,0.18,27.36,273.6,MAC_42,57.0,0,0,0,None,23
S116,U15,C8,2025-09-28 23:55:00,2025-09-29 01:21:00,0.03,51,0.27,41.4,414.0,MAC_15,86.0,0,0,0,None,23
S117,U23,C10,2025-09-29 00:09:00,2025-09-29 01:23:00,0.07,45,0.26,35.72,357.2,MAC_23,74.0,0,0,0,None,0
S118,U30,C2,2025-09-29 00:23:00,2025-09-29 01:04:00,0.05,42,0.17,19.27,192.7,MAC_30,41.0,0,0,0,None,0
S119,U48,C1,2025-09-29 00:41:00,2025-09-29 01:34:00,0.05,53,0.16,24.97,249.7,MAC_48,53.0,0,0,0,None,0
S120,U15,C18,2025-09-29 00:54:00,2025-09-29 02:13:00,0.06,35,0.21,37.92,379.2,MAC_15,79.0,0,0,0,None,0
S121,U29,C15,2025-09-29 01:05:00,2025-09-29 01:36:00,0.04,41,0.23,14.57,145.7,MAC_29,31.0,0,0,0,None,1
S122,U1,C14,2025-09-29 01:24:00,2025-09-29 02:40:00,0.04,36,0.16,36.48,364.8,MAC_1,76.0,0,0,0,None,1
S123,U12,C1,2025-09-29 01:43:00,2025-09-29 02:50:00,0.03,38,0.23,31.85,318.5,MAC_12,67.0,0,0,0,None,1
S124,U22,C11,2025-09-29 01:53:00,2025-09-29 02:59:00,0.06,44,0.15,31.2,312.0,MAC_22,66.0,0,0,0,None,1
S125,U17,C15,2025-09-29 02:08:00,2025-09-29 03:22:00,0.04,50,0.17,35.72,357.2,MAC_17,74.0,0,0,0,None,2
S126,U23,C19,2025-09-29 02:22:00,2025-09-29 03:10:00,0.07,31,0.28,22.56,225.6,MAC_23,48.0,0,0,0,None,2
S127,U40,C1,2025-09-29 02:37:00,2025-09-29 03:00:00,0.06,45,0.22,10.81,108.1,MAC_40,23.0,0,0,0,None,2
S128,U4,C10,2025-09-29 02:47:00,2025-09-29 03:55:00,0.05,42,0.17,32.17,321.7,MAC_4,68.0,0,0,0,None,2
S129,U26,C13,2025-09-29 03:00:00,2025-09-29 04:22:00,0.06,53,0.18,38.88,388.8,MAC_26,82.0,0,0,0,None,3
S130,U38,C7,2025-09-29 03:21:00,2025-09-29 04:12:00,0.06,47,0.25,24.48,244.8,MAC_38,51.0,0,0,0,None,3
S131,U43,C13,2025-09-29 03:36:00,2025-09-29 04:36:00,0.06,53,0.28,28.8,288.0,MAC_43,60.0,0,0,0,None,3
S132,U24,C13,2025-09-29 03:47:00,2025-09-29 04:47:00,0.03,38,0.18,28.8,288.0,MAC_24,60.0,0,0,0,None,3
S133,U45,C19,2025-09-29 04:02:00,2025-09-29 05:22:00,0.07,51,0.22,38.4,384.0,MAC_45,80.0,0,0,0,None,4
S134,U21,C17,2025-09-29 04:23:00,2025-09-29 05:07:00,0.04,40,0.26,20.64,206.4,MAC_21,44.0,0,0,0,None,4
S135,U16,C16,2025-09-29 04:44:00,2025-09-29 05:13:00,0.05,41,0.27,13.63,136.3,MAC_16,29.0,0,0,0,None,4
S136,U37,C11,2025-09-29 04:58:00,2025-09-29 06:17:00,0.04,50,0.17,37.92,379.2,MAC_37,79.0,0,0,0,None,4
S137,U4,C13,2025-09-29 05:18:00,2025-09-29 05:54:00,0.05,45,0.26,17.28,172.8,MAC_4,36.0,0,0,0,None,5
S138,U13,C18,2025-09-29 05:32:00,2025-09-29 06:33:00,0.06,31,0.15,28.88,288.8,MAC_13,61.0,0,0,0,None,5
S139,U11,C2,2025-09-29 05:43:00,2025-09-29 06:21:00,0.06,58,0.19,17.86,178.6,MAC_11,38.0,0,0,0,None,5
S140,U2,C12,2025-09-29 05:54:00,2025-09-29 06:50:00,0.07,59,0.21,26.88,268.8,MAC_2,56.0,0,0,0,None,5
S141,U41,C13,2025-09-29 06:05:00,2025-09-29 06:27:00,0.04,49,0.18,9.9,99.0,MAC_41,22.0,0,0,0,None,6
S142,U19,C19,2025-09-29 06:20:00,2025-09-29 07:11:00,0.06,44,0.15,24.48,244.8,MAC_19,51.0,0,0,0,None,6
S143,U46,C12,2025-09-29 06:31:00,2025-09-29 07:44:00,0.04,48,0.24,34.48,344.8,MAC_46,73.0,0,0,0,None,6
S144,U3,C8,2025-09-29 06:50:00,2025-09-29 07:07:00,0.06,42,0.18,7.65,76.5,MAC_3,17.0,0,0,0,None,6
S145,U34,C12,2025-09-29 07:05:00,2025-09-29 07:47:00,0.04,40,0.24,19.74,197.4,MAC_34,42.0,0,0,0,None,7
S146,U15,C4,2025-09-29 07:17:00,2025-09-29 08:00:00,0.04,50,0.22,20.65,206.5,MAC_15,43.0,0,0,0,None,7
S147,U33,C13,2025-09-29 07:33:00,2025-09-29 08:14:00,0.05,40,0.26,19.27,192.7,MAC_33,41.0,0,0,0,None,7
S148,U27,C14,2025-09-29 07:54:00,2025-09-29 08:44:00,0.04,39,0.19,23.5,235.0,MAC_27,50.0,0,0,0,None,7
S149,U17,C16,2025-09-29 08:08:00,2025-09-29 09:25:00,0.04,50,0.17,36.95,369.5,MAC_17,77.0,0,0,0,None,8
S150,U2,C17,2025-09-29 08:23:00,2025-09-29 09:37:00,0.03,51,0.27,35.72,357.2,MAC_2,74.0,0,0,0,None,8
S151,U29,C1,2025-09-29 08:42:00,2025-09-29 09:44:00,0.06,53,0.19,29.28,292.8,MAC_29,62.0,0,0,0,None,8
S152,U30,C12,2025-09-29 08:52:00,2025-09-29 10:07:00,0.91,520,0.88,35.51,355.1,MAC_30,75.0,0,0,1,DoS,8
S153,U49,C3,2025-09-29 09:12:00,2025-09-29 09:47:00,0.06,43,0.15,16.45,164.5,MAC_49,35.0,0,0,0,None,9
S154,U40,C1,2025-09-29 09:30:00,2025-09-29 10:43:00,0.04,41,0.25,34.48,344.8,MAC_40,73.0,0,0,0,None,9
S155,U15,C10,2025-09-29 09:50:00,2025-09-29 10:14:00,0.07,45,0.26,11.28,112.8,MAC_15,24.0,0,0,0,None,9
S156,U4,C10,2025-09-29 10:01:00,2025-09-29 10:39:00,0.05,42,0.17,17.86,178.6,MAC_4,38.0,0,0,0,None,10
S157,U23,C13,2025-09-29 10:19:00,2025-09-29 11:41:00,0.06,53,0.18,38.88,388.8,MAC_23,82.0,0,0,0,None,10
S158,U20,C12,2025-09-29 10:32:00,2025-09-29 11:27:00,0.06,44,0.15,25.92,259.2,MAC_20,55.0,0,0,0,None,10
S159,U1,C14,2025-09-29 10:48:00,2025-09-29 11:28:00,0.06,53,0.19,18.0,180.0,MAC_1,40.0,0,0,0,None,10
S160,U15,C18,2025-09-29 11:04:00,2025-09-29 12:05:00,0.05,58,0.24,28.88,288.8,MAC_15,61.0,0,0,0,None,11
S161,U24,C11,2025-09-29 11:23:00,2025-09-29 11:40:00,0.07,31,0.26,7.65,76.5,MAC_24,17.0,0,0,0,None,11
S162,U12,C10,2025-09-29 11:32:00,2025-09-29 12:44:00,0.03,40,0.24,34.56,345.6,MAC_12,72.0,0,0,0,None,11
S163,U39,C15,2025-09-29 11:45:00,2025-09-29 12:35:00,0.07,46,0.15,23.5,235.0,MAC_39,50.0,0,0,0,None,11
S164,U48,C1,2025-09-29 12:01:00,2025-09-29 12:17:00,0.04,45,0.15,7.2,72.0,MAC_48,16.0,0,0,0,None,12
S165,U42,C11,2025-09-29 12:12:00,2025-09-29 12:47:00,0.06,53,0.23,16.45,164.5,MAC_42,35.0,0,0,0,None,12
S166,U2,C19,2025-09-29 12:28:00,2025-09-29 13:21:00,0.04,45,0.26,24.97,249.7,MAC_2,53.0,0,0,0,None,12
S167,U36,C18,2025-09-29 12:38:00,2025-09-29 13:50:00,0.03,40,0.24,34.56,345.6,MAC_36,72.0,0,0,0,None,12
S168,U19,C8,2025-09-29 12:54:00,2025-09-29 13:46:00,0.03,49,0.23,24.45,244.5,MAC_19,52.0,0,0,0,None,12
S169,U25,C19,2025-09-29 13:06:00,2025-09-29 13:44:00,0.06,42,0.17,17.86,178.6,MAC_25,38.0,0,0,0,None,13
S170,U13,C19,2025-09-29 13:25:00,2025-09-29 14:38:00,0.04,41,0.25,34.48,344.8,MAC_13,73.0,0,0,0,None,13
S171,U31,C14,2025-09-29 13:42:00,2025-09-29 15:06:00,0.06,37,0.28,40.42,404.2,MAC_31,84.0,0,0,0,None,13
S172,U2,C18,2025-09-29 13:55:00,2025-09-29 15:00:00,0.05,53,0.16,31.05,310.5,MAC_2,65.0,0,0,0,None,13
S173,U41,C17,2025-09-29 14:05:00,2025-09-29 14:26:00,0.04,49,0.18,9.45,94.5,MAC_41,21.0,0,0,0,None,14
S174,U11,C2,2025-09-29 14:20:00,2025-09-29 15:23:00,0.05,43,0.21,29.76,297.6,MAC_11,63.0,0,0,0,None,14
S175,U47,C5,2025-09-29 14:36:00,2025-09-29 15:24:00,0.03,48,0.27,22.56,225.6,MAC_47,48.0,0,0,0,None,14
S176,U22,C11,2025-09-29 14:48:00,2025-09-29 15:53:00,0.04,33,0.2,31.05,310.5,MAC_22,65.0,0,0,0,None,14
S177,U21,C17,2025-09-29 15:01:00,2025-09-29 15:44:00,0.04,40,0.24,20.65,206.5,MAC_21,43.0,0,0,0,None,15
S178,U43,C13,2025-09-29 15:13:00,2025-09-29 15:35:00,0.05,52,0.21,9.9,99.0,MAC_43,22.0,0,0,0,None,15
S179,U3,C16,2025-09-29 15:25:00,2025-09-29 16:11:00,0.04,42,0.18,21.6,216.0,MAC_3,46.0,0,0,0,None,15
S180,U26,C1,2025-09-29 15:39:00,2025-09-29 16:53:00,0.04,50,0.17,35.72,357.2,MAC_26,74.0,0,0,0,None,15
S181,U30,C2,2025-09-29 15:52:00,2025-09-29 16:17:00,0.04,33,0.2,11.5,115.0,MAC_30,25.0,0,0,0,None,15
S182,U15,C1,2025-09-29 16:12:00,2025-09-29 17:02:00,0.05,42,0.17,23.5,0.0,MAC_15,50.0,1,0,0,Billing,16
S183,U37,C19,2025-09-29 16:22:00,2025-09-29 17:15:00,0.04,45,0.26,24.97,249.7,MAC_37,53.0,0,0,0,None,16
S184,U19,C15,2025-09-29 16:32:00,2025-09-29 17:00:00,0.04,41,0.23,13.2,132.0,MAC_19,28.0,0,0,0,None,16
S185,U42,C13,2025-09-29 16:44:00,2025-09-29 18:08:00,0.06,37,0.28,40.42,404.2,MAC_42,84.0,0,0,0,None,16
S186,U49,C3,2025-09-29 17:06:00,2025-09-29 17:53:00,0.05,43,0.21,22.09,220.9,MAC_49,47.0,0,0,0,None,17
S187,U23,C10,2025-09-29 17:17:00,2025-09-29 18:07:00,0.07,46,0.15,23.5,235.0,MAC_23,50.0,0,0,0,None,17
